Food_Item,Calories,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Meal_Type
pork beef salami cooked,41,3.2,1.1,1.4,0.3,0.3,0.1,2.7,0.0,10.9,0.2,5.6,0.0,0.079,0.039,0.014,0.007,0.7,0.1,0.001,0.0,0.0,0.075,0.048,1.8,0.071,0.2,2.3,0.1,23.5,38.9,0.022,0.4,8.2,Low
pork breakfast strips raw,88,8.4,2.9,3.8,1.3,0.2,0.0,2.7,0.0,15.6,0.2,10.7,0.0,0.1,0.047,0.066,0.049,0.8,0.1,0.084,4.0625,0.0,0.0,0.0,1.8,0.057,0.2,2.7,0.034,31.0,46.1,0.037,0.4,19.4,Low
pickle pimiento loaf,86,6.1,2.0,2.7,1.1,3.2,3.2,4.3,0.6,22.0,0.4,22.9,0.007,0.1,0.093,0.063,0.065,0.9,0.2,0.2,3.0,0.0,0.2,0.036,41.4,0.005,0.5,12.9,0.024,58.1,141.0,0.047,0.6,59.105,Medium
luxury loaf,39,1.3,0.4,0.7,0.1,1.4,0.0,5.2,0.0,10.1,0.3,19.1,0.0,0.2,0.055,0.055,0.033,1.0,0.1,0.011,0.0,0.0,0.0,0.0,10.1,0.015,0.3,5.6,0.004,51.8,105.6,0.009,0.9,18.3,Low
mortadella,47,3.8,1.4,1.7,0.5,0.5,0.0,2.5,0.0,8.4,0.2,7.8,0.0,0.07,0.015,0.011,0.089,0.4,0.084,0.094,0.0,0.0,0.067,0.018,2.7,0.032,0.2,1.7,0.098,14.6,24.5,0.036,0.3,9.7,Low
pork bologna,69,5.6,1.9,2.7,0.6,0.2,0.0,4.3,0.0,16.5,0.3,17.0,0.0,0.1,0.077,0.087,0.077,1.1,0.2,0.096,0.0,0.0,0.035,0.04,3.1,0.099,0.2,3.9,0.092,38.9,78.7,0.023,0.6,13.4,Low
turkey salami cooked,9,0.5,0.1,0.2,0.1,0.081,0.063,1.0,0.054,3.8,0.023,3.4,0.0775,0.068,0.036,0.048,0.075,0.2,0.061,0.001,0.0,0.0,0.017,0.094,2.0,0.026,0.026,1.1,0.025,13.3,10.8,0.072,0.1,3.796,Low
pepperoni beef,10,0.9,0.3,0.3,0.053,0.0,0.0,0.5,0.0,2.1,0.09,0.6,0.0,0.088,0.07,0.032,0.014,0.026,0.07,0.006,0.097,0.0,0.0,0.043,0.4,0.009,0.035,0.4,0.014,3.5,5.6,0.035,0.027,1.902,Low
peppered loaf,42,1.8,0.6,0.9,0.1,1.3,1.3,4.9,0.0,13.1,0.2,19.2,0.0,0.1,0.064,0.012,0.005,0.9,0.2,0.081,0.0,0.0,0.084,0.032,15.4,0.047,0.3,5.7,0.046,48.5,112.3,0.059,0.9,23.7,Low
luncheon meat beef,10,0.3,0.1,0.1,0.013,0.0,0.0,1.8,0.0,3.2,0.1,6.9,0.0,0.057,0.095,0.128125,0.067,0.4,0.007,0.054,0.0,0.0,0.059,0.076,0.9,0.011,0.3,1.7,0.054,12.9,37.4,0.055,0.3,3.3,Low
lebanon bologna,98,6.0,1.6,2.5,0.1,0.3,0.0,10.8,0.0,31.4,0.696,37.5,0.052,0.066,0.024,0.093,0.051,1.8,0.2,0.2,0.5,0.0,0.3,0.073,11.4,0.093,1.2,11.4,0.002,109.4,188.1,0.059,2.2,30.243,Medium
chicken pork bologna,94,8.6,2.8,3.7,1.2,1.2,0.0,2.9,0.0,24.4,0.3,14.2,0.01,0.094,0.081,0.001,0.041,1.0,0.2,0.081,3.7,0.0,0.2,0.048,54.9,0.056,0.3,4.5,0.042,62.4,45.4,0.0,0.3,71.678,Medium
turkey roll,40,1.9,0.6,0.6,0.5,0.6,0.0,4.9,0.0,14.9,0.1,18.9,0.0,0.038,0.072,0.075,0.013,1.3,0.2,0.089,0.0,0.0,0.009,0.0,8.6,0.088,0.4,4.9,0.085,45.4,72.9,0.049,0.5,16.4,Low
beef salami cooked,68,5.8,2.6,2.8,0.3,0.5,0.4,3.3,0.0,18.5,0.3,15.6,0.0,0.046,0.036,0.012,0.099,0.8,0.2,0.051,0.0,0.0,0.093,0.082,1.6,0.014,0.6,3.4,0.083,53.3,48.9,0.088,0.5,11.8,Low
yachtwurst cooked,150,12.7,4.4,0.0,0.0,0.8,0.0,8.3,0.0,35.8,0.5,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Medium
italian salami,43,3.7,1.3,1.8,0.4,0.1,0.1,2.2,0.0,8.0,0.2,3.5,0.0,0.025,0.024,0.071,0.009,0.6,0.1,0.015,0.0,0.0,0.0,0.0,1.0,0.057,0.2,2.2,0.052,22.9,34.0,0.035,0.4,7.2,Low
turkey ham,38,1.6,0.1,0.2,0.3,0.3,0.1,5.5,0.0,18.8,0.3,20.2,0.0,0.094,0.096,0.044,0.011,1.0,0.2,0.024,0.0,0.0,0.1,0.0,1.4,0.047,0.4,5.6,0.074,85.1,83.7,0.043,0.7,9.2,Low
turkey bologna,59,4.5,1.2,1.9,1.1,1.3,0.8,3.2,0.1,21.0,0.3,18.1,0.025,0.046,0.098,0.0,0.085,0.7,0.1,0.004,3.7,0.0,0.1,0.037,34.4,0.04,0.8,4.5,0.086,31.9,37.8,0.059,0.4,48.096,Medium
sliced turkey breast,17,0.6,0.1,0.2,0.2,0.4,0.1,2.4,0.0,7.8,0.1,12.2,0.038,0.0,0.084,0.021,0.076,0.087,1.1,0.089,0.006,0.0,0.049,0.007,0.0,0.9400000000000001,0.023,0.051,1.6945,0.025,39.8,0.20099999999999998,0.097,3.572,Low
luncheon meat pork beef,99,9.0,3.2,4.2,1.0,0.7,0.0,3.5,0.0,15.4,0.4,13.8,0.0,0.072,0.011,0.028,0.074,0.8,0.2,0.025,0.0,0.0,0.038,0.058,2.5,0.041,0.2,3.9,0.092,24.1,56.6,0.058,0.5,15.9,Low
beef bologna,90,7.8,3.1,3.7,0.4,1.3,0.6,3.3,0.0,17.1,0.3,16.6,0.0775,0.043,0.019,0.052,0.031,0.014,0.7,0.1,0.085,0.0,0.083,0.165,0.053,0.9400000000000001,0.01,0.4,1.6945,0.055,46.2,0.20099999999999998,0.018,12.962,Low
turkey bacon cooked,313,22.9,6.654,8.413375,4.1435,2.5,0.0,24.3,0.0,65.9375,0.696,26.7,0.0,0.04,0.021,0.045,0.2,2.9,0.0,0.3,0.0,0.0,0.75,0.028,7.4,0.1,1.7,23.8,0.0,377.2,323.9,0.092,2.5,58.8,Medium
ground emu cooked,178,5.1,1.4,2.1,0.7,0.0,0.0,31.0,0.0,65.9375,0.025,71.8,0.0775,0.0,0.188,0.038,0.014,0.6,1.9280000000000002,0.7064999999999999,0.9,0.0,0.0,0.165,0.044,0.9400000000000001,0.3,5.5,1.6945,0.085,293.2,0.20099999999999998,0.044,37.595,Medium
ostrich leg raw,94,1.5,0.5,0.5,0.3,0.0,0.0,19.0,0.0,56.1,0.067,64.6,0.0,0.2,0.034,0.097,0.3,4.1,1.0,0.4,0.0,0.0,0.2,0.0,4.3,0.1,2.0,18.7,0.06,187.0,272.0,0.026,2.9175,26.8,Low
ostrich strip raw,108,2.4,0.8,1.0,0.5,0.0,0.0,20.1,0.0,62.1,0.086,63.0,0.0,0.2,0.011,0.03,0.3,4.4,1.1,0.5,0.0,0.0,0.2,0.0,4.3,0.1,3.6,19.6,0.088,192.1,280.5,0.005,2.9175,30.4,Medium
emu fillet cooked,579,9.1,2.3,3.6,1.3,0.0,0.0,32.05,0.0,65.9375,0.2,261.7,0.0,0.4925,0.05,0.062,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,0.0,0.0,0.75,0.0,23.6,0.9,4.35,90.0625,0.1,425.98749999999995,809.3375,0.2,2.9175,173.9,High
ostrich tenderloin raw,105,2.7,1.0,1.0,0.6,0.0,0.0,18.8,0.0,65.9375,0.005,63.3,0.0,0.2,0.1,0.049,0.2,4.1,1.0,0.4,0.0,0.0,0.2,0.0,5.1,0.1,4.1,18.7,0.019,187.0,272.0,0.087,2.9175,30.7,Medium
emu drums cooked,579,8.4,2.7,3.6,1.7,0.0,0.0,32.05,0.0,65.9375,0.5,267.5,0.0775,0.4925,0.042,0.084,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,0.0,0.0,0.75,0.0,25.0,0.9400000000000001,4.35,90.0625,0.1,425.98749999999995,809.3375,0.2,2.9175,198.375,High
green turtle raw,25,0.1,0.015,0.093,0.074,0.0,0.0,5.6,0.0,14.2,0.099,22.2,0.0775,0.024,0.087,0.019,0.084,0.3,0.0,0.088,0.0,0.0,0.1,0.081,33.4,0.08,0.4,5.7,0.0,50.9,65.1,0.035,0.3,39.567,Medium
ground bison cooked,448,21.6,6.654,8.2,1.0,0.0,0.0,32.05,0.0,65.9375,0.2,162.7,0.0,0.3,0.015,0.006,0.4865,5.887499999999999,0.0,0.7064999999999999,0.0,0.0,0.5,0.011,35.0,0.4,4.35,57.5,0.0,425.98749999999995,809.3375,0.006,2.9175,128.2,High
goat meat raw,494,10.5,3.2,4.7,0.8,0.0,0.0,32.05,0.0,65.9375,0.4,314.0625,0.0,0.4925,0.084,0.03,0.4865,5.887499999999999,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.9400000000000001,4.35,0.0,0.2,425.98749999999995,809.3375,0.01,2.9175,175.7,High
ground emu raw,157,4.7,1.2,1.9,0.7,0.0,0.0,26.6,0.0,65.9375,0.062,85.3,0.0,0.3,0.073,0.051,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,0.0,0.0,0.3,0.0,8.2,0.2,4.35,28.1,0.02,259.7,374.4,0.061,2.9175,44.2,Medium
ground ostrich raw,180,9.5,2.4,2.9,1.0,0.0,0.0,22.0,0.0,65.9375,0.021,77.5,0.0,0.2,0.071,0.032,0.3,4.8,1.2,0.5,0.0,0.0,0.3,0.0,7.6,0.1,3.2,21.8,0.025,216.9,317.2,0.067,2.9175,42.3,Medium
ostrich tip cooked,123,2.2,0.9,0.8,0.4,0.0,0.0,24.2,0.0,65.9375,0.086,58.2,0.0,0.2,0.02,0.077,0.2,5.887499999999999,1.1,0.5,0.0,0.0,0.2,0.0,5.1,0.1,2.4,21.3,0.013,213.4,307.7,0.019,2.9175,33.9,Medium
caribou cooked,210,6.4,2.5,2.0,1.0,0.0,0.0,32.05,0.0,65.9375,0.004,86.4,0.0775,0.4,0.055,0.032,0.4865,5.887499999999999,1.9280000000000002,0.5,0.0,0.0,0.75,0.009,6.6,0.4,4.35,31.7,0.049,283.8,323.4,0.073,2.9175,57.4,Medium
ground ostrich cooked,163,6.6,1.7,2.0,0.7,0.0,0.0,24.3,0.0,65.9375,0.099,62.4,0.0775,0.0,0.188,0.045,0.044,0.2,1.9280000000000002,0.7064999999999999,0.5,0.0,0.033,0.165,0.0,0.9400000000000001,0.1,3.2,1.6945,0.076,208.3,0.20099999999999998,0.033,31.712,Medium
ostrich leg cooked,120,1.6,0.6,0.6,0.3,0.0,0.0,24.7,0.0,62.1,0.016,59.5,0.0,0.2,0.074,0.023,0.3,5.887499999999999,1.1,0.5,0.0,0.0,0.2,0.0,5.1,0.1,2.7,21.3,0.035,207.4,299.2,0.05,2.9175,34.1,Medium
ostrich top loin cooked,132,3.3,1.1,1.1,0.3,0.0,0.0,23.9,0.0,65.9375,0.029,57.8,0.0775,0.0,0.188,0.082,0.062,0.2,1.9280000000000002,0.7064999999999999,0.5,0.0,0.0,0.165,0.046,0.9400000000000001,0.1,2.8,1.6945,0.075,208.3,0.20099999999999998,0.017,27.982,Medium
ostrich strip cooked,139,3.6,1.5,1.5,0.6,0.0,0.0,25.0,0.0,65.9375,0.034,56.6,0.0,0.2,0.012,0.081,0.3,5.887499999999999,1.2,0.5,0.0,0.0,0.2,0.0,4.3,0.1,4.1,22.1,0.013,215.1,311.1,0.018,2.9175,37.0,Medium
ostrich tip raw,97,2.0,0.7,0.7,0.4,0.0,0.0,18.6,0.0,61.2,0.041,64.7,0.0,0.2,0.099,0.017,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,4.3,0.1,2.4,18.7,0.034,181.1,263.5,0.033,2.9175,27.3,Low
ostrich round raw,99,2.0,0.7,0.7,0.4,0.0,0.0,18.7,0.0,60.4,0.074,64.3,0.0,0.2,0.087,0.012,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,4.3,0.1,3.0,18.7,0.018,183.6,267.8,0.073,2.9175,28.0,Medium
ground bison raw,124,6.1,2.5,2.3,0.3,0.099,0.0,17.2,0.0,46.8,0.042,60.9,0.0,0.1,0.02,0.008,0.2,4.5,0.0,0.3,0.0,0.0,0.2,0.023,9.4,0.1,2.4,17.9,0.0,164.9,278.8,0.014,2.9175,35.102,Medium
ostrich fan raw,99,2.3,0.8,0.8,0.4,0.0,0.0,18.5,0.0,62.1,0.04,64.5,0.0,0.2,0.045,0.09,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,5.1,0.1,3.7,18.7,0.018,179.4,261.8,0.003,2.9175,29.6,Medium
ostrich top loin raw,101,2.5,1.0,0.9,0.5,0.0,0.0,18.4,0.0,63.8,0.073,64.0,0.0,0.2,0.042,0.032,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,5.1,0.1,2.7,18.7,0.082,181.9,265.2,0.099,2.9175,28.7,Medium
veal brain cooked,461,23.049999999999997,6.654,5.9,4.1435,0.0,0.0,32.05,0.0,65.9375,0.5,260.7,0.0,0.3,0.024,0.084,0.4865,5.887499999999999,1.9280000000000002,0.6,4.0625,0.0,0.0,0.0,54.2,0.9,4.35,54.2,0.1,425.98749999999995,725.5,0.055,2.9175,175.5,High
veal tongue cooked,515,23.049999999999997,6.654,8.413375,1.0,0.0,0.0,32.05,0.0,65.9375,0.2,163.4,0.0,0.2,0.098,0.016,0.4865,3.7,1.9,0.4,4.0625,0.0,0.0,0.0,23.0,0.5,4.35,45.9,0.1,423.3,413.1,0.016,2.9175,135.3,High
beef heart cooked,47,1.3,0.4,0.3,0.3,0.057,0.0,8.1,0.0,60.0,0.024,18.6,0.016,0.0,0.062,0.047,0.05,0.3,1.9,0.5,0.048,0.0,0.022,0.089,0.038,0.9400000000000001,0.2,1.8,1.6945,0.03,71.9,0.20099999999999998,0.015,9.714,Low
turkey liver cooked,100,4.3,1.2,0.6,1.1,0.0,0.0,14.3,0.0,65.9375,0.083,33.9,0.0775,0.1,0.188,0.096,0.4865,5.887499999999999,1.9280000000000002,0.5,4.0625,0.0,0.083,0.068,10.1,0.6,0.9,13.8,0.2,165.4,81.1,0.022,2.4,47.3,Medium
veal thymus cooked,35,0.9,0.3,0.3,0.066,0.0,0.0,6.4,0.0,65.9375,0.036,20.8,0.0,0.055,0.052,0.095,0.084,1.0,0.3,0.005,4.0625,0.0,0.079,0.0,1.1,0.029,0.4,6.8,0.063,177.4,123.1,0.059,0.6,20.0,Low
beef brain cooked,579,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,65.9375,0.6,248.3,0.0,0.4925,0.097,0.057,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,4.0625,0.0,0.0,0.0,31.6,0.8,4.35,52.7,0.1,425.98749999999995,809.3375,0.09,2.9175,150.7,High
beef pancreas cooked,579,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,65.9375,0.1,123.4,0.0,0.4,0.093,0.052,0.4865,5.887499999999999,1.9280000000000002,0.4,4.0625,0.0,0.0,0.0,35.5,0.2,4.35,46.6,0.5,425.98749999999995,546.1,0.1,2.9175,184.8,High
beef tripe cooked,80,3.4,1.2,1.4,0.2,1.7,0.0,10.0,0.0,65.9375,0.045,69.4,0.0,0.0,0.038,0.053,0.0,0.4,0.089,0.0,0.0,0.0,0.1,0.0,68.9,0.0,0.6,12.8,0.041,56.1,35.7,0.01,1.5,84.6,Medium
chicken gizzard cooked,223,3.9,1.0,0.8,0.5,0.0,0.0,32.05,0.0,65.9375,0.069,98.5,0.0,0.094,0.074,0.095,0.3,4.5,0.7,0.1,0.0,0.0,0.3,0.0,24.7,0.2,4.35,4.4,0.1,274.1,259.6,0.047,2.9175,77.3,Medium
pork pancreas cooked,537,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,65.9375,0.1,147.7,0.0,0.2,0.086,0.058,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,4.0625,0.0,0.0,0.0,39.2,0.3,4.35,56.4,0.5,425.98749999999995,411.6,0.2,2.9175,156.1,High
beef tongue cooked,80,6.3,2.3,2.9,0.2,0.0,0.0,5.5,0.0,37.4,0.029,16.4,0.0,0.042,0.007,0.072,0.025,1.0,0.2,0.067,0.4,0.0,0.074,0.049,1.4,0.048,0.7,4.2,0.03,41.0,52.1,0.065,1.2,14.3,Low
lamb heart cooked,353,15.1,6.0,4.2,1.5,3.7,0.0,32.05,0.0,65.9375,0.1,122.6,0.0,0.3,0.006,0.051,0.4865,5.887499999999999,1.9280000000000002,0.6,4.0625,0.0,0.0,0.0,26.7,0.9400000000000001,4.35,45.8,0.1,425.98749999999995,359.1,0.04,2.9175,117.1,High
beef spleen cooked,447,12.9,4.3,3.4,1.0,0.0,0.0,32.05,0.0,65.9375,0.2,215.5,0.0,0.1,0.035,0.06,0.4865,5.887499999999999,1.9280000000000002,0.1,4.0625,0.0,0.0,0.0,37.0,0.9400000000000001,4.35,58.5,0.2,425.98749999999995,809.3375,0.20099999999999998,2.9175,312.37675,High
veal kidneys cooked,300,10.4,3.2,2.3,2.1,0.0,0.0,32.05,0.0,65.9375,0.2,124.5,0.0775,0.3,0.056,0.002,0.4865,5.887499999999999,1.6,0.3,4.0625,0.0,0.0,0.0,53.4,0.7,4.35,44.2,0.2,425.98749999999995,292.6,0.2,2.9175,132.9,High
chicken heart cooked,268,11.5,3.3,2.9,3.3,0.1,0.0,32.05,0.0,65.9375,0.081,94.0,0.033,0.1,0.1,0.034,0.4865,4.1,1.9280000000000002,0.5,2.6,0.0,0.0,0.0,27.6,0.7,4.35,29.0,0.2,288.6,191.4,0.027,2.9175,93.286,Medium
lamb tongue cooked,579,23.049999999999997,6.654,8.413375,3.2,0.0,0.0,32.05,0.0,65.9375,0.2,147.5,0.0,0.2,0.082,0.027,0.4865,5.887499999999999,0.9,0.4,4.0625,0.0,0.0,0.0,25.5,0.5,4.35,40.8,0.076,341.7,402.9,0.072,2.9175,156.8,High
veal heart cooked,368,13.4,3.6,2.8,3.5,0.3,0.0,32.05,0.0,65.9375,0.1,123.1,0.0,0.4925,0.029,0.048,0.4865,5.887499999999999,1.9280000000000002,0.4,4.0625,0.0,0.0,0.0,15.8,0.9,4.35,35.6,0.1,425.98749999999995,394.0,0.1,2.9175,115.6,High
chicken liver cooked,76,2.8,0.9,0.6,0.6,0.5,0.0,11.3,0.0,65.9375,0.079,28.7,0.006,0.4925,0.1,0.128125,0.015,1.0,1.9280000000000002,0.7064999999999999,0.4,0.0,0.0,0.165,0.0,0.9400000000000001,0.2,5.7,1.6945,0.2,194.5,0.20099999999999998,0.052,15.238,Low
lamb pancreas cooked,541,23.049999999999997,6.654,8.413375,1.7,0.0,0.0,32.05,0.0,65.9375,0.1,137.8,0.0,0.022,0.089,0.026,0.4865,5.887499999999999,1.9280000000000002,0.1,4.0625,0.0,0.0,0.0,27.7,0.2,4.35,43.9,0.049,425.98749999999995,672.2,0.1,2.9175,166.4,High
veal spleen cooked,445,10.0,3.3,2.7,0.7,0.0,0.0,32.05,0.0,65.9375,0.2,245.8,0.0,0.2,0.022,0.051,0.4865,5.887499999999999,0.0,0.2,4.0625,0.0,0.0,0.0,24.2,0.9400000000000001,4.35,48.3,0.3,425.98749999999995,741.8,0.20099999999999998,2.9175,280.7,High
lamb liver cooked,579,23.049999999999997,6.654,6.2,4.1435,8.5,0.0,32.05,0.0,65.9375,0.2,190.4,0.0775,0.4925,0.188,0.128125,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,4.0625,0.0,0.0,0.0,26.9,0.9400000000000001,4.35,73.9,1.6945,425.98749999999995,742.6,0.20099999999999998,2.9175,234.1,High
turkey gizzard cooked,70,2.1,0.5,0.4,0.3,0.0,0.0,11.9,0.0,65.9375,0.031,31.1,0.0775,0.03,0.045,0.067,0.2,2.9,0.2,0.027,2.8,0.0,0.025,0.0,7.7,0.1,1.7,9.5,0.063,84.2,86.9,0.033,1.8,26.231,Low
lamp spleen cooked,460,14.1,4.7,3.7,1.0,0.0,0.0,32.05,0.0,65.9375,0.2,195.8,0.0,0.2,0.062,0.028,0.4865,5.887499999999999,0.0,0.2,4.0625,0.0,0.0,0.0,38.4,0.4,4.35,62.0,0.2,425.98749999999995,731.6,0.1,2.9175,312.37675,High
turkey heart cooked,35,1.5,0.4,0.3,0.4,0.0,0.0,5.0,0.0,65.9375,0.046,13.4,0.0775,0.07,0.091,0.089,0.3,1.6,0.3,0.1,0.6,0.0,0.013,0.0,4.2,0.2,1.4,5.6,0.017,48.2,40.6,0.001,0.9,12.759,Low
beef liver cooked,130,3.6,1.2,0.4,0.4,3.5,0.0,19.8,0.0,65.9375,0.068,40.0,0.0775,0.4925,0.1,0.128125,0.01,2.3,1.9280000000000002,0.7064999999999999,0.7,0.0,0.034,0.165,0.07,0.9400000000000001,4.35,4.4,1.6945,0.2,338.0,0.20099999999999998,0.023,37.539,Medium
lamb lungs cooked,431,11.8,4.0,3.0,1.6,0.0,0.0,32.05,0.0,65.9375,0.3,288.9,0.0775,0.1,0.012,0.1,0.4865,5.887499999999999,0.0,0.2,4.0625,0.0,0.0,0.0,45.7,0.9,4.35,41.9,0.064,425.98749999999995,483.9,0.095,2.9175,257.4,High
pork brain cooked,527,23.049999999999997,6.654,6.6,4.1435,0.0,0.0,32.05,0.0,65.9375,0.3,289.9,0.0,0.3,0.063,0.031,0.4865,5.887499999999999,1.9280000000000002,0.5,4.0625,0.0,0.0,0.0,34.4,0.9400000000000001,4.35,45.8,0.3,425.98749999999995,744.9,0.003,2.9175,177.6,High
goose liver,125,4.0,1.5,0.8,0.2,5.9,0.0,15.4,0.0,65.9375,0.1,67.5,0.0775,0.4925,0.188,0.022,0.4865,5.887499999999999,1.9280000000000002,0.7,4.0625,0.0,0.0,0.0,40.4,0.9400000000000001,4.35,22.6,0.0,245.3,216.2,0.067,2.9,107.4,High
pork kidneys cooked,211,6.6,2.1,2.2,0.5,0.0,0.0,32.05,0.0,65.9375,0.1,96.2,0.0775,0.4925,0.098,0.028,0.4865,5.887499999999999,1.9280000000000002,0.6,4.0625,0.0,0.0,0.0,18.2,0.9400000000000001,4.35,25.2,0.2,336.0,200.2,0.20099999999999998,2.9175,82.7,Medium
lamb brain cooked,503,23.049999999999997,6.654,6.4,3.6,0.0,0.0,32.05,0.0,65.9375,0.5,262.8,0.0,0.4,0.007,0.088,0.4865,5.887499999999999,1.9280000000000002,0.4,4.0625,0.0,0.0,0.0,41.6,0.7,4.35,48.6,0.2,425.98749999999995,711.4,0.066,2.9175,167.8,High
pork heart cooked,215,7.3,1.9,1.7,1.9,0.6,0.0,32.05,0.0,65.9375,0.053,98.7,0.017,0.4925,0.023,0.0,0.4865,5.887499999999999,1.9280000000000002,0.6,2.9,0.0,0.0,0.0,10.2,0.7,4.35,34.8,0.1,258.1,298.7,0.082,2.9175,63.745,Medium
lamb kidneys cooked,349,9.2,3.1,2.0,1.7,2.5,0.0,32.05,0.0,65.9375,0.4,179.6,0.0775,0.4925,0.188,0.128125,0.4865,5.887499999999999,1.9280000000000002,0.3,4.0625,0.0,0.0,0.0,45.9,0.9,4.35,51.0,0.4,425.98749999999995,453.9,0.20099999999999998,2.9175,180.4,High
beef lungs cooked,364,11.2,3.8,2.9,1.5,0.0,0.0,32.05,0.0,65.9375,0.3,231.5,0.0775,0.1,0.062,0.09,0.4,5.887499999999999,1.9,0.066,4.0625,0.0,0.0,0.0,33.3,0.7,4.35,30.3,0.015,425.98749999999995,524.2,0.2,2.9175,221.858,High
veal pancreas cooked,579,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,0.0,0.2,133.7,0.0,0.4,0.068,0.082,0.4865,5.887499999999999,0.0,0.5,4.0625,0.0,0.0,0.0,43.2,0.2,4.35,57.6,0.6,425.98749999999995,667.2,0.098,2.9175,168.1,High
pork liver cooked,579,15.6,5.0,2.2,3.7,13.3,0.0,32.05,0.0,65.9375,0.2,227.7,0.0775,0.4925,0.188,0.071,0.4865,5.887499999999999,1.9280000000000002,0.7064999999999999,4.0625,0.0,0.0,0.0,35.4,0.9400000000000001,4.35,49.6,1.1,425.98749999999995,531.0,0.2,2.9175,312.37675,High
beef kidneys cooked,45,1.3,0.3,0.2,0.2,0.0,0.0,7.7,0.0,65.9375,0.029,18.9,0.0,0.001,0.073,0.013,0.4865,1.1,0.4,0.1,0.0,0.0,0.099,0.0,5.4,0.2,1.6,3.4,0.007,86.0,38.2,0.049,0.8,16.0,Low
turkey giblets cooked,164,6.3,1.6,1.0,1.5,0.0,0.0,25.1,0.0,65.9375,0.1,63.3,0.0775,0.4925,0.188,0.128125,0.063,1.5,1.9280000000000002,0.7064999999999999,0.5,0.0,0.0,0.1,0.014,0.9400000000000001,0.7,3.2,1.6945,0.2,236.6,0.20099999999999998,0.072,32.643,Medium
duck liver raw,60,2.0,0.6,0.3,0.3,1.6,0.0,8.2,0.0,65.9375,0.089,31.6,0.0775,0.2,0.188,0.046,0.4,2.9,1.9280000000000002,0.3,2.0,0.0,0.0,0.0,4.8,0.9400000000000001,4.35,10.6,0.1,118.4,101.2,0.069,1.4,37.3,Medium
veal liver cooked,154,5.0,1.6,0.9,0.9,3.0,0.0,22.7,0.0,65.9375,0.046,47.9,0.0775,0.4925,0.1,0.128125,0.09,2.3,1.9280000000000002,0.7064999999999999,0.7,0.0,0.0,0.165,0.043,0.9400000000000001,4.35,4.1,1.6945,0.2,368.0,0.20099999999999998,0.043,43.638,Medium
pork lungs cooked,297,9.3,3.3,2.1,1.1,0.0,0.0,32.05,0.0,65.9375,0.2,240.0,0.0,0.2,0.069,0.049,0.4865,4.1,1.9280000000000002,0.2,4.0625,0.0,0.0,0.0,24.0,0.2,4.35,36.0,0.029,425.98749999999995,453.0,0.085,2.9175,156.0,High
veal lungs cooked,312,7.9,2.7,2.0,1.1,0.0,0.0,32.05,0.0,65.9375,0.2,232.8,0.0,0.072,0.032,0.016,0.4,5.887499999999999,0.0,0.2,4.0625,0.0,0.0,0.0,21.0,0.7,4.35,24.0,0.082,425.98749999999995,426.0,0.067,2.9175,197.9,High
beef thymus cooked,579,23.049999999999997,6.654,8.413375,4.1435,0.0,0.0,32.05,0.0,65.9375,0.4,201.3,0.0,0.3,0.058,0.092,0.4865,5.887499999999999,1.9280000000000002,0.3,4.0625,0.0,0.0,0.0,38.1,0.2,4.35,38.1,0.4,425.98749999999995,809.3375,0.029,2.9175,312.37675,High
ham,46,2.5,0.1,1.2,0.2,1.0,0.3,4.6,0.4,16.0,0.2,18.8,0.0,0.2,0.079,0.074,0.094,0.8,0.1,0.041,1.1,0.0,0.076,0.0,6.7,0.002,0.3,6.2,0.2,42.8,80.4,0.063,0.4,16.6,Low
